Empresa,Página Web,Capital Social,Cotización,Variación,Volumen acciones,Volumen Euros,Fecha,Hora
"IBERDROLA, S.A.",http://www.iberdrola.es,"4.774.566.000,00 Euros","9,7600","1,35%",5.267.624,"51.124.204,28€",03/12/2021,11:17:54
"ENDESA, SOCIEDAD ANONIMA",http://www.endesa.com,"1.270.502.540,40 Euros","19,4850","0,18%",170.461,"3.316.027,21€",03/12/2021,11:17:45
"NATURGY ENERGY GROUP, S.A.",https://www.naturgy.com,"969.613.801,00 Euros","24,5200","0,29%",99.169,"2.423.682,13€",03/12/2021,11:17:58
"REPSOL, S.A.",http://www.repsol.es,"1.527.396.053,00 Euros","10,2120","1,09%",988.684,"10.114.369,15€",03/12/2021,11:17:07
"CORP.  ACCIONA ENERGÍAS RENOVABLES, S.A.",https://www.acciona-energia.com,"329.250.589,00 Euros","30,4000","2,32%",18.150,"548.628,28€",03/12/2021,11:17:28
"ENAGAS, S.A.",http://www.enagas.com,"392.985.111,00 Euros","20,1300","1,49%",114.008,"2.286.233,32€",03/12/2021,11:16:26
"RED ELECTRICA CORPORACION, S.A.",http://www.ree.es,"270.540.000,00 Euros","18,5800","0,92%",129.574,"2.402.178,07€",03/12/2021,11:17:50
"AUDAX RENOVABLES, S.A.",http://www.audaxrenovables.com,"44.029.105,40 Euros","1,2490","0,73%",185.948,"234.004,44€",03/12/2021,11:08:23
SOLARPACK CORPORACION TECNOL. S.A.,https://www.solarpack.es/,"13.301.204,00 Euros","26,4500","0,19%",2.051,"54.251,55€",03/12/2021,10:19:35
"SOLARIA ENERGIA Y MEDIO AMBIENTE, S.A.",http://www.solariaenergia.com,"1.249.508,76 Euros","16,3100","3,06%",191.002,"3.073.992,84€",03/12/2021,11:17:57
"GRENERGY RENOVABLES, S.A.",http://grenergy.eu/es/home/,"9.774.418,85 Euros","30,2500","0,33%",6.922,"208.398,55€",03/12/2021,11:18:00
